Name,City,State
SUNY Oneonta,Oneonta,NY
SUNY at Purchase College,Purchase,NY
Teachers College at Columbia University,New York,NY
Trocaire College,Buffalo,NY
United States Military Academy,West Point,NY
Webb Institute,Glen Cove,NY
Phagans School of Hair Design-Portland,Portland,OR
Lane Community College,Eugene,OR
Phagans Medford Beauty School,Medford,OR
Multnomah University,Portland,OR
Oregon Institute of Technology,Klamath Falls,OR
University of Portland,Portland,OR
Rogue Community College,Grants Pass,OR
College of Cosmetology,Klamath Falls,OR
Everest College-Portland,Portland,OR
Jolie Hair and Beauty Academy-Hazleton,Hazleton,PA
Academy of Vocal Arts,Philadelphia,PA
Tennessee College of Applied Technology-Memphis,Memphis,TN
Tennessee College of Applied Technology-Murfreesboro,Murfreesboro,TN
Tennessee College of Applied Technology-Newbern,Newbern,TN
Southern College of Optometry,Memphis,TN
The University of Tennessee-Chattanooga,Chattanooga,TN
Tennessee State University,Nashville,TN
Northeast State Community College,Blountville,TN
Fairmont State University,Fairmont,WV
Potomac State College of West Virginia University,Keyser,WV
West Virginia State University,Institute,WV
West Virginia University Institute of Technology,Montgomery,WV
Beloit College,Beloit,WI
Oswego County BOCES,Mexico,NY
Southern Oklahoma Technology Center,Ardmore,OK
Wilkes-Barre Area Career and Technical Center Practical Nursing,Wilkes Barre,PA
Delta College of Arts & Technology,Baton Rouge,LA
New York Academy of Art,New York,NY
Southwest Florida College,Fort Myers,FL
DeVry University's Keller Graduate School of Management-Arizona,Phoenix,AZ
National College-Nashville,Nashville,TN
College of Health Care Professions-Northwest,Houston,TX
Watkins College of Art Design & Film,Nashville,TN
Asian American International Beauty College,Westminster,CA
Paul Mitchell the School-Huntsville,Madison,AL
Ventura Adult and Continuing Education,Ventura,CA
W F Kaynor Technical High School,Waterbury,CT
City College-Altamonte Springs,Altamonte Springs,FL
Career Center of Southern Illinois,Red Bud,IL
Mr Bernard's School of Hair Fashion Inc,Lewiston,ME
Central College of Cosmetology,Saint Robert,MO
Veeb Nassau County School of Practical Nursing,Uniondale,NY
Broome Delaware Tioga BOCES-Practical Nursing Program,Binghamton,NY
DeVry College of New York,New York,NY
DeVry University-Indiana,Indianapolis,IN
Appalachian School of Law,Grundy,VA
Platt College-Ontario,Ontario,CA
The Art Institute of California-Argosy University Los Angeles,Santa Monica,CA
Lincoln Technical Institute-Lincoln,Lincoln,RI
Santa Barbara Business College-Ventura,Ventura,CA
University of Phoenix-Chicago Campus,Schaumburg,IL
Ave Maria School of Law,Naples,FL
Everest College-Arlington,Arlington,VA
San Joaquin Valley College-Ontario,Ontario,CA
Minnesota School of Business-Plymouth,Plymouth,MN
Everest Institute-Austin,Austin,TX
Ottawa University-Jeffersonville,Jeffersonville,IN
Hawaii College of Oriental Medicine,Hilo,HI
Visible Music College,Memphis,TN
South University-Tampa,Tampa,FL
The Art Institute of Salt Lake City,Draper,UT
Strayer University-Delaware,Newark,DE
Concordia College Alabama,Selma,AL
Enterprise State Community College,Enterprise,AL
New Beginning College of Cosmetology,Albertville,AL
Judson College,Marion,AL
Miles College,Fairfield,AL
University of Montevallo,Montevallo,AL
University of North Alabama,Florence,AL
Reid State Technical College,Evergreen,AL
University of South Alabama,Mobile,AL
H Councill Trenholm State Technical College,Montgomery,AL
Tuskegee University,Tuskegee,AL
Everest College-San Francisco,San Francisco,CA
Everest College-Reseda,Reseda,CA
Everest College-San Bernardino,San Bernardino,CA
The National Hispanic University,San Jose,CA
North-West College-West Covina,West Covina,CA
Concorde Career College-San Diego,San Diego,CA
Pacific School of Religion,Berkeley,CA
Peralta Community College System Office,Oakland,CA
Porterville College,Porterville,CA
Talmudic College of Florida,Miami Beach,FL
Warner University,Lake Wales,FL
Rasmussen College-Florida,Ocala,FL
William T McFatter Technical Center,Davie,FL
The Art Institute of Atlanta,Atlanta,GA
Clark Atlanta University,Atlanta,GA
Clayton State University,Morrow,GA
Morningside College,Sioux City,IA
Western Iowa Tech Community College,Sioux City,IA
Bethany College,Lindsborg,KS
Central Christian College of Kansas,McPherson,KS
Pine Manor College,Chestnut Hill,MA
Quincy College,Quincy,MA
Wentworth Institute of Technology,Boston,MA
Williams College,Williamstown,MA
Calvin College,Grand Rapids,MI
Cleary University,Ann Arbor,MI
Concordia University-Ann Arbor,Ann Arbor,MI
Mid-Plains Community College,North Platte,NE
Nebraska Wesleyan University,Lincoln,NE
Academy of Hair Design-Las Vegas,Las Vegas,NV
Everest College-Henderson,Henderson,NV
Marinello Schools of Beauty-Reno,Reno,NV
Mount Washington College,Manchester,NH
New England School of Hair Design Inc,West Lebanon,NH
Branford Hall Career Institute-Bohemia Campus,Bohemia,NY
SUNY College of Environmental Science and Forestry,Syracuse,NY
SUNY College at Geneseo,Geneseo,NY
SUNY College at Old Westbury,Old Westbury,NY
Westchester School of Beauty Culture,Mount Vernon,NY
Concordia University-Portland,Portland,OR
East West College of the Healing Arts,Portland,OR
George Fox University,Newberg,OR
Lewis & Clark College,Portland,OR
Northwest College-Clackamas,Clackamas,OR
Oregon Health & Science University,Portland,OR
Portland State University,Portland,OR
Reed College,Portland,OR
Abington Memorial Hospital Dixon School of Nursing,Willow Grove,PA
Bryn Athyn College of the New Church,Bryn Athyn,PA
Martin Methodist College,Pulaski,TN
Memphis Theological Seminary,Memphis,TN
O'More College of Design,Franklin,TN
Tennessee College of Applied Technology-Ripley,Ripley,TN
Tennessee College of Applied Technology-McMinnville,McMinnville,TN
Tennessee Temple University,Chattanooga,TN
Union University,Jackson,TN
William Moore College of Technology,Memphis,TN
Whitworth University,Spokane,WA
Bethany College,Bethany,WV
Bluefield State College,Bluefield,WV
Concord University,Athens,WV
Mountain State College,Parkersburg,WV
Salem International University,Salem,WV
Southern West Virginia Community and Technical College,Mount Gay,WV
West Liberty University,West Liberty,WV
West Virginia University,Morgantown,WV
Advanced Institute of Hair Design-Glendale,Glendale,WI
Caddo Kiowa Technology Center,Fort Cobb,OK
Ross Medical Education Center-Kentwood,Kentwood,MI
South Florida Bible College and Theological Seminary,Deerfield Beach,FL
Pennsylvania College of Technology,Williamsport,PA
Las Positas College,Livermore,CA
Remington College-Mobile Campus,Mobile,AL
Mercy-St Luke's School of Radiologic Technology,Cedar Rapids,IA
Inner State Beauty School,Lyndhurst,OH
Everest University-South Orlando,Orlando,FL
Avance Beauty College,San Diego,CA
Platt Technical High School,Milford,CT
Michael's School of Beauty,Augusta,GA
Dallas County Technical Center,Louisburg,MO
Orange Ulster BOCES-Practical Nursing Program,Middletown,NY
Kenneth Shuler School of Cosmetology-Rock Hill,Rock Hill,SC
University of Phoenix-Central Florida Campus,Orlando,FL
CHOICE High School and Technical Center,Fort Walton Beach,FL
Lester E Cox Medical Center-School of Medical Technology,Springfield,MO
Western Governors University,Salt Lake City,UT
Herzing University-Kenner,Kenner,LA
Antioch University-PhD Program in Leadership and Change,Yellow Springs,OH
St Louis College of Health Careers-Fenton,Fenton,MO
Anthem Institute-Cherry Hill,Cherry Hill,NJ
NASCAR Technical Institute,Mooresville,NC
Medvance Institute-West Palm,Palm Springs,FL
Southwest Institute of Healing Arts,Tempe,AZ
University of Antelope Valley,Lancaster,CA
NorthShore University HealthSystem School of Nurse Anesthesia,Evanston,IL
Ideal Beauty Academy,Jeffersonville,IN
Louisiana Culinary Institute,Baton Rouge,LA
Champion Beauty College,Houston,TX
Southwest Applied Technology Center,Cedar City,UT
Averett University-Non-Traditional Programs,Danville,VA
Beauty Schools of America-North Miami Beach,North Miami Beach,FL
Athens State University,Athens,AL
Auburn University at Montgomery,Montgomery,AL
Birmingham Southern College,Birmingham,AL
The Art Institute of California-Argosy University San Diego,San Diego,CA
Lancaster Beauty School,Lancaster,CA
Lassen Community College,Susanville,CA
Los Angeles Community College District Office,Los Angeles,CA
Los Angeles Pierce College,Woodland Hills,CA
Los Angeles Trade Technical College,Los Angeles,CA
Los Angeles Mission College,Sylmar,CA
Marinello Schools of Beauty-San Francisco,San Francisco,CA
Traviss Career Center,Lakeland,FL
Miami Lakes Educational Center,Miami Lakes,FL
University of Miami,Coral Gables,FL
Nova Southeastern University,Fort Lauderdale,FL
Northwest Florida State College,Niceville,FL
Orange Park International School of Beauty,Orange Park,FL
Palm Beach State College,Lake Worth,FL
Saint Vincent de Paul Regional Seminary,Boynton Beach,FL
Robert Morgan Educational Center,Miami,FL
Pinellas Technical Education Center-St Petersburg,Saint Petersburg,FL
Stenotype Institute of Jacksonville Inc-Jacksonville,Jacksonville,FL
Kaplan College-Indianapolis,Indianapolis,IN
Rudae's School of Beauty Culture-Kokomo,Kokomo,IN
Saint Josephs College,Rensselaer,IN
American Hair Academy,Fort Madison,IA
Iowa Central Community College,Fort Dodge,IA
American College of Hairstyling-Des Moines,Des Moines,IA
Greenfield Community College,Greenfield,MA
College of the Holy Cross,Worcester,MA
Massachusetts College of Art and Design,Boston,MA
Massachusetts Maritime Academy,Buzzards Bay,MA
Massachusetts School of Professional Psychology,Newton,MA
Nichols College,Dudley,MA
The New England Institute of Art,Brookline,MA
Westminster College,Fulton,MO
William Woods University,Fulton,MO
Aaniiih Nakoda College,Harlem,MT
Little Big Horn College,Crow Agency,MT
The University of Montana,Missoula,MT
La'James International College,Fremont,NE
Bellevue University,Bellevue,NE
Clarkson College,Omaha,NE
College of Hair Design-Downtown,Lincoln,NE
Nyack College,Nyack,NY
Professional Business College,New York,NY
Rabbinical College Beth Shraga,Monsey,NY
Rabbinical Seminary M'kor Chaim,Brooklyn,NY
Rabbinical College of Long Island,Long Beach,NY
Ridley-Lowell Business & Technical Institute-Binghamton,Binghamton,NY
Sarah Lawrence College,Bronxville,NY
Schenectady County Community College,Schenectady,NY
Murray State College,Tishomingo,OK
Spartan College of Aeronautics and Technology,Tulsa,OK
Beauty Technical College Inc,Tahlequah,OK
Oklahoma State University-Oklahoma City,Oklahoma City,OK
Rogers State University,Claremore,OK
Standard Beauty College of Oklahoma,Sand Springs,OK
University of Science and Arts of Oklahoma,Chickasha,OK
Seminole State College,Seminole,OK
Southeastern Oklahoma State University,Durant,OK
Southwestern Oklahoma State University,Weatherford,OK
Chemeketa Community College,Salem,OR
Clatsop Community College,Astoria,OR
College of Hair Design Careers,Salem,OR
Lake Area Technical Institute,Watertown,SD
National American University-Rapid City,Rapid City,SD
Cleveland State Community College,Cleveland,TN
Freed-Hardeman University,Henderson,TN
Tennessee College of Applied Technology-Hartsville,Hartsville,TN
Bellingham Beauty School,Bellingham,WA
Pierce College at Fort Steilacoom,Lakewood,WA
Saint Martin's University,Lacey,WA
Seattle Pacific University,Seattle,WA
Daymar College-Bowling Green,Bowling Green,KY
Raphael's School of Beauty Culture Inc-Brunswick,Brunswick,OH
Chandler-Gilbert Community College,Chandler,AZ
Madison Media Institute,Madison,WI
Roane-Jackson Technical Center,Leroy,WV
Iverson Business School,Arlington,TX
Lawrence County Career and Technical Center-Practical Nursing Program,New Castle,PA
Portage Lakes Career Center,Uniontown,OH
Acupuncture and Integrative Medicine College-Berkeley,Berkeley,CA
Milan Institute of Cosmetology-Amarillo,Amarillo,TX
Seminar L'moros Bais Yaakov,Brooklyn,NY
Salon Academy,Coldwater,MI
Jean Madeline Aveda Institute,Philadelphia,PA
Premiere Career College,Irwindale,CA
The University of Texas MD Anderson Cancer Center,Houston,TX
Institute of Technology Inc,Clovis,CA
Hamilton Fulton Montgomery BOCES-Practical Nursing Program,Johnstown,NY
Henrico County-Saint Marys Hospital School of Practical Nursing,Henrico,VA
International Beauty College,Garland,TX
Putnam Westchester BOCES-Practical Nursing Program,Yorktown Heights,NY
Sullivan County BOCES-Practical Nursing Program,Liberty,NY
Harris School of Business-Wilmington Campus,Wilmington,DE
Florida Barber Academy,Pompano Beach,FL
Jacksonville Beauty Institute,Jacksonville,FL
Texas County Technical College,Houston,MO
Healing Mountain Massage School,Salt Lake City,UT
California State University-Channel Islands,Camarillo,CA
ITT Technical Institute-Springfield,Springfield,VA
The Art Institute of California-Argosy University Orange County,Santa Ana,CA
Lincoln Technical Institute-Northeast Philadelphia,Philadelphia,PA
Lincoln Technical Institute-Paramus,Paramus,NJ
University of Phoenix-Omaha Campus,Omaha,NE
Stautzenberger College-Brecksville,Brecksville,OH
University of Alabama System Office,Tuscaloosa,AL
The University of Alabama,Tuscaloosa,AL
Lake Tahoe Community College,South Lake Tahoe,CA
La Sierra University,Riverside,CA
Long Beach City College,Long Beach,CA
The Art Institute of California-Argosy University San Francisco,San Francisco,CA
Loyola Marymount University,Los Angeles,CA
Kaplan College-North Hollywood,North Hollywood,CA
Lindsey Hopkins Technical Education Center,Miami,FL
Everest Institute-Hialeah,Hialeah,FL
Palm Beach Atlantic University,West Palm Beach,FL
Ridge Career Center,Winter Haven,FL
Toni & Guy Hairdressing Academy-Jacksonville,Jacksonville,FL
Argosy University-Sarasota,Sarasota,FL
South Florida State College,Avon Park,FL
University of South Florida-Main Campus,Tampa,FL
Rogers Academy of Hair Design,Evansville,IN
Kaplan College-Merrillville,Merrillville,IN
Wabash College,Crawfordsville,IN
Briar Cliff University,Sioux City,IA
Capri College-Dubuque,Dubuque,IA
American College of Hairstyling-Cedar Rapids,Cedar Rapids,IA
Divine Word College,Epworth,IA
University of Dubuque,Dubuque,IA
Kaplan University-Mason City Campus,Mason City,IA
Hamilton Technical College,Davenport,IA
Hawkeye Community College,Waterloo,IA
UnityPoint Health-Des Moines School of Radiologic Technology,Des Moines,IA
Gordon-Conwell Theological Seminary,South Hamilton,MA
Harvard University,Cambridge,MA
Hebrew College,Newton Centre,MA
Henris School of Hair Design,Fitchburg,MA
La Baron Hairdressing Academy-New Bedford,New Bedford,MA
University of Massachusetts-Lowell,Lowell,MA
Mansfield Beauty Schools-Quincy,Quincy,MA
New England School of Acupuncture,Newton,MA
Washington University in St Louis,Saint Louis,MO
Great Falls College Montana State University,Great Falls,MT
Fullen School of Hair Design,Scottsbluff,NE
Ohr Hameir Theological Seminary,Peekskill,NY
Olean Business Institute,Olean,NY
Onondaga Community College,Syracuse,NY
Orange County Community College,Middletown,NY
Rabbinical Academy Mesivta Rabbi Chaim Berlin,Brooklyn,NY
Rabbinical College of Ch'san Sofer New York,Brooklyn,NY
Roberts Wesleyan College,Rochester,NY
Rockland Community College,Suffern,NY
St Thomas Aquinas College,Sparkill,NY
Skidmore College,Saratoga Springs,NY
Saint Joseph's College-New York,Brooklyn,NY
St James Mercy Hospital School of Radiologic Science,Hornell,NY
Hillsdale Free Will Baptist College,Moore,OK
Northeastern Oklahoma A&M College,Miami,OK
Oklahoma City University,Oklahoma City,OK
Tulsa Technology Center-Peoria Campus,Tulsa,OK
Platt College-Central OKC,Oklahoma City,OK
Indian Capital Technology Center-Tahlequah,Tahlequah,OK
Woodward Beauty College,Woodward,OK
Blue Mountain Community College,Pendleton,OR
Headlines Academy Inc,Rapid City,SD
Mitchell Technical Institute,Mitchell,SD
Sioux Falls Seminary,Sioux Falls,SD
Sisseton Wahpeton College,Sisseton,SD
Southeast Technical Institute,Sioux Falls,SD
Bryan College-Dayton,Dayton,TN
Lipscomb University,Nashville,TN
Tennessee College of Applied Technology-Dickson,Dickson,TN
East Tennessee State University,Johnson City,TN
Hiwassee College,Madisonville,TN
Tennessee College of Applied Technology-Jacksboro,Jacksboro,TN
Everest College-Renton,Renton,WA
City University of Seattle,Seattle,WA
Clark College,Vancouver,WA
Clover Park Technical College,Lakewood,WA
Gonzaga University,Spokane,WA
Grays Harbor College,Aberdeen,WA
Toni & Guy Hairdressing Academy-Shoreline,Shoreline,WA
International Air and Hospitality Academy,Vancouver,WA
Trinity Lutheran College,Everett,WA
Olympic College,Bremerton,WA
Skagit Valley College,Mount Vernon,WA
South Puget Sound Community College,Olympia,WA
Walla Walla Community College,Walla Walla,WA
Heritage College-Denver,Denver,CO
Empire Beauty School-Highland,Louisville,KY
Sunstate Academy,Fort Myers,FL
Elizabeth Grady School of Esthetics and Massage Therapy,Medford,MA
University of the District of Columbia-David A Clarke School of Law,Washington,DC
St John's Hospital School of Clinical Lab Science,Springfield,IL
Houston Training School-Gulfgate,Houston,TX
The Bryman School of Arizona,Phoenix,AZ
Heartland Community College,Normal,IL
Coral Ridge Nurses Assistant Training School Inc,Fort Lauderdale,FL
Baker College Center for Graduate Studies,Flint,MI
Pennsylvania Highlands Community College,Johnstown,PA
Faris Technical Institute Inc,Nederland,TX
Dutchess BOCES-Practical Nursing Program,Poughkeepsie,NY
Bristol Technical Education Center,Bristol,CT
Northland Career Center,Platte City,MO
Virginia Sewing Machines and School Center,Los Angeles,CA
Institute for Therapeutic Massage,Haskell,NJ
Kussad Institute of Court Reporting,Austin,TX
Virginia College-Jackson,Jackson,MS
Pima Medical Institute-Colorado Springs,Colorado Springs,CO
University of Phoenix-Atlanta Campus,Sandy Springs,GA
University of Phoenix-Columbia Campus,Columbia,SC
National American University-Zona Rosa,Kansas City,MO
The Robert B Miller College,Battle Creek,MI
Arizona State University-Downtown Phoenix,Phoenix,AZ
University of Alaska Anchorage,Anchorage,AK
Carrington College-Phoenix,Phoenix,AZ
Brookline College-Phoenix,Phoenix,AZ
Brillare Hairdressing Academy,Scottsdale,AZ
Cochise College,Douglas,AZ
Empire Beauty School-Chandler,Chandler,AZ
Glendale Community College,Glendale,AZ
International Academy of Hair Design,Mesa,AZ
University of Redlands,Redlands,CA
Rosemead Beauty School,Rosemead,CA
San Diego State University,San Diego,CA
William Jessup University,Rocklin,CA
College of San Mateo,San Mateo,CA
Santa Monica College,Santa Monica,CA
Saybrook University,San Francisco,CA
Sierra Valley College of Court Reporting,Fresno,CA
East Georgia State College,Swainsboro,GA
Georgia State University,Atlanta,GA
Herzing University-Atlanta,Atlanta,GA
Southwest Georgia Technical College,Thomasville,GA
Fort Scott Community College,Fort Scott,KS
Concorde Career Colleges,Kansas City,MO
Neosho County Community College,Chanute,KS
Pratt Community College,Pratt,KS
Wichita Technical Institute,Wichita,KS
Eastern Kentucky University,Richmond,KY
MIAT College of Technology,Canton,MI
Glen Oaks Community College,Centreville,MI
Cornerstone University,Grand Rapids,MI
Grand Rapids Community College,Grand Rapids,MI
Great Lakes Christian College,Lansing,MI
Kalamazoo Valley Community College,Kalamazoo,MI
Madonna University,Livonia,MI
Marygrove College,Detroit,MI
Northwood University-Michigan,Midland,MI
Lakes Region Community College,Laconia,NH
Nashua Community College,Nashua,NH
University System of New Hampshire System Office,Durham,NH
Brookdale Community College,Lincroft,NJ
Burlington County College,Pemberton,NJ
Caldwell College,Caldwell,NJ
Divers Academy International,ERIAL,NJ
Lincoln Technical Institute-South Plainfield,South Plainfield,NJ
Hohokus School of Trade and Technical Sciences,Paterson,NJ
Word of Life Bible Institute,Pottersville,NY
College of the Albemarle,Elizabeth City,NC
The Art Institute of Charlotte,Charlotte,NC
South Piedmont Community College,Polkton,NC
Craven Community College,New Bern,NC
Davidson College,Davidson,NC
Haywood Community College,Clyde,NC
Lenoir Community College,Kinston,NC
Lenoir-Rhyne University,Hickory,NC
Bradford School,Pittsburgh,PA
Cedar Crest College,Allentown,PA
Citizens School of Nursing,New Kensington,PA
Drexel University,Philadelphia,PA
Du Bois Business College-Du Bois,Du Bois,PA
Alvin Community College,Alvin,TX
Baptist Missionary Association Theological Seminary,Jacksonville,TX
Concordia University-Texas,Austin,TX
Dallas County Community College District,Dallas,TX
Dallas Institute of Funeral Service,Dallas,TX
Career Point College,San Antonio,TX
Texas A & M University-Commerce,Commerce,TX
Eastfield College,Mesquite,TX
Carroll University,Waukesha,WI
Carthage College,Kenosha,WI
Edgewood College,Madison,WI
Marian University,Fond Du Lac,WI
Northland College,Ashland,WI
Bryant & Stratton College-Milwaukee,Milwaukee,WI
Chippewa Valley Technical College,Eau Claire,WI
Wisconsin Indianhead Technical College,Shell Lake,WI
University of Wisconsin-Oshkosh,Oshkosh,WI
Kaplan College-Modesto,Salida,CA
New Castle Beauty Academy,New Castle,PA
Hair Professionals Career College,Palos Hills,IL
Southwest Technology Center,Altus,OK
Diversified Vocational College,Los Angeles,CA
Mt Sierra College,Monrovia,CA
Southern California Institute of Technology,Anaheim,CA
Advance Beauty College,Garden Grove,CA
Career Colleges of America,South Gate,CA
World Mission University,Los Angeles,CA
Greater Johnstown Career and Technology Center,Johnstown,PA
Clarion County Career Center Practical Nursing Program,Shippenville,PA
North Central Institute,Clarksville,TN
South Louisiana Community College,Lafayette,LA
Northwest HVAC/R Training Center,Spokane,WA
L T International Beauty School,Philadelphia,PA
ITT Technical Institute-Arnold,Arnold,MO
Florida Coastal School of Law,Jacksonville,FL
Creative Images Institute of Cosmetology-North Dayton,Dayton,OH
Toni & Guy Hairdressing Academy-Colorado Springs,Colorado Springs,CO
Illinois CareerPath Institute,Chicago,IL
Valley Grande Institute for Academic Studies,Weslaco,TX
InterCoast Colleges-West Covina,West Covina,CA
Anthem College-Fenton,Fenton,MO
Everest College-Arlington,Arlington,TX
University of Phoenix-Memphis Campus,Cordova,TN
University of Phoenix-Birmingham Campus,Birmingham,AL
University of Phoenix-Augusta Campus,Augusta,GA
University of Phoenix-Chattanooga Campus,Chattanooga,TN
Empire Beauty School-Arlington Heights,Arlington Heights,IL
Empire Beauty School-Hooksett,Hooksett,NH
Regency Beauty Institute-Avon,Indianapolis,IN
Regency Beauty Institute-Rockford,Rockford,IL
Arizona Summit Law School,Phoenix,AZ
InfoTech Career College,Paramount,CA
Branford Academy of Hair and Cosmetology,Branford,CT
Digital Media Arts College,Boca Raton,FL
MyComputerCareer.com-Indianapolis,Indianapolis,IN
